family,workflow,instance,instance_scale_tag,scheduler,makespan,total_energy,total_carbon,green_ratio,brown_energy,avg_utilization,seed,success,abl
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.1104,43.97947434618603,11.40151046780607,0.5815076515895217,18.4050735009936,0.0369747095680726,2,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.17706666666668,44.43023608527253,11.395320704126192,0.5870465832206766,18.34761779972516,0.0371714801766646,3,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.17706666666668,43.34143963902254,11.21338750374318,0.5825558358404286,18.09263104358413,0.035965204630232,4,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.16665384615384,47.0663778785418,11.350887042837725,0.6176647299212354,17.995136297821333,0.040409681752807,5,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.1354,46.20072876527256,11.02212175924238,0.6228593983769622,17.42417064195755,0.0391467417059607,6,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.1354,44.3892928463783,11.4359537551314,0.5847426925808962,18.432978225625018,0.0374269417093869,7,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.17706666666668,45.131242295080206,11.570104639995582,0.5872685061781728,18.62708505048317,0.038097767514526,8,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.1104,46.49815506541677,11.389091148461524,0.6101271810703605,18.128366790381413,0.0396098280415087,9,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.15383333333334,46.07633358110589,11.159915973169465,0.6155901042549181,17.712198588228368,0.0390302673329833,10,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.08092307692309,32.481650237035375,13.80163713152205,0.2501886738632786,24.35510923934055,0.0232301065310992,1,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.04246153846154,32.68420769956742,13.856814042763244,0.2520789385421343,24.44520731556972,0.0234696277843303,2,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.08733333333332,32.680928770961664,13.855124769032065,0.2520972450854606,24.442156660967967,0.023556820873232,3,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.104,32.40888477967962,13.869855695586551,0.2440707824489533,24.498822913205142,0.0232531108352439,4,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.16665384615384,32.6801590313623,13.749394183959543,0.2585479023670198,24.23077246478286,0.0234945149583402,5,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.054,32.5333432094873,13.780121216148247,0.2528616578126674,24.306908111347774,0.0233831363275367,6,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.054,32.435560910384744,13.82866190480851,0.247314767084475,24.413767718578548,0.0232726246897185,7,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.0665,32.946371648028965,13.838845612529262,0.2599168636612389,24.38305406025563,0.0238322949533428,8,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.04246153846154,32.6103847342469,13.916064300013227,0.24652559830741,24.57109012660178,0.0233685741387756,9,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,HEFT,100.0576875,32.686134443125134,13.626846065185513,0.2662002070696559,23.985078686058507,0.023488429279026,10,1,full
